From,To,Similarity
ALPINWEISS 3,Antispinn,0.126
9AA,,0.0
993,,0.0
6AK,,0.0
6AM,,0.0
6NS,,0.0
6S4,,0.0
6UH,,0.0
710,,0.0
715,,0.0
775,,0.0
7AQ,,0.0
842,,0.0
877,,0.0
885,,0.0
8KA,,0.0
8SM,,0.0
8TF,,0.0
8TG,,0.0
8TH,,0.0
8V1,,0.0
925,,0.0
2PW,,0.0
2PA,,0.0
258,,0.0
Aut.avblendbart speil teknikkpakke,Elektriske speil,0.146
S3AA Roof Railing Black,Servostyring,0.022
S4LV Black High-Gloss Accent Korall-Rot,Sentrallås,0.176
S552 Adaptive LED Headlight,,0.0
S575 Additional 12V Sockets,,0.0
S6NH Hands-Free System With USB Interface,Vinterhjul,0.114
S7AC Sport Line,,0.0
S7LD Modell Sport Line,,0.0
"19"" 5-arms design sportspakke",Startsperre,0.188
Audi sound system komb teknikkpakke,,0.0
"Dekor, alumium satelitt",,0.0
248,,0.0
"Kupevarmer, fjernbetjent",Oppvarmede seter,0.15
Lengdeinnstilling av baksetet,Oppvarmede seter,0.079
Navigasjon plus navipakke,Multifunksjonsratt,0.067
S line eksteriørpakke,Vinterhjul,0.037
02PE BMW LA wheel,,0.0
04AE Armrest front,Oppvarmede seter,0.061
04FT Alum. brushed lengthw. acc. black hi-gls,,0.0
05DF Active cruise control+stop&amp;go function,Sentrallås,0.037
06NH Hands-free system with USB interface,Vinterhjul,0.113
"S24B BMW LA Wheel, Double Spoke 397",,0.0
Mineral-grau metallic,Sentrallås,0.194
- Vinterpakke,Vinterhjul,0.317
- Topp garanti til juni 2026 / 200 000 km,Antispinn,0.148
258 COLLIS.WARN. SYS. W/ ACTIVE BRAKE INTERV. FCW STOP,Vinterhjul,0.107
2U6 SHORTENED COOLING MODULE,Servostyring,0.018
413 PANORAMIC SUNROOF/GLASS SUNROOF,Airbag foran,0.04
522 AUDIO 20 RADIO NAVIGATION,Radio FM,0.526
537 DIGITAL RADIO STANDARD DAB,Radio FM,0.391
755U TENORITE GRAY METALLIC PAINT,Lettmet. felg vinter,0.091
"806 MODEL YEAR, THE LAST FIGURE SHOWING THE NEW MODEL YEAR",Servostyring,0.012
"80R 17"" LT ALLOY WHEEL 5 DOUBLE-SPOKE DES. ALL-ROUND",Sentrallås,0.112
8U2 WEIGHT-OPTIMIZED WINDSHIELD,El.vinduer,0.036
927 EURO 6,,0.0
Radar Brake Support,Radio FM,0.148
- Autopilot,,0.0
- CCS adapter,Vinterhjul,0.046
- Forvarming via app,Oppvarmede seter,0.134
- Garasjeåpner,,0.0
- Gratis internett og Spotify,Lettmet. felg vinter,0.181
- Gratis superlading hos Tesla,Radio FM,0.11
- Nye sommerdekk av merke Continental Contact 7 ubrukte,Sommerhjul,0.233
- Piggfrie vinterdekk av merke Continental kjørt halv sesong,Vinterhjul,0.132
M star spoke 400,Startsperre,0.193
retractable,Sentrallås,0.083
M Sport pakke,,0.0
LED Hovedlys og kjørelys,Kjørecomputer,0.174
"20"" Komplette Vinterhjul",Vinterhjul,0.655
"20"" Wheel - Rotor Carbon insert",ABS-Bremser,0.058
Auto High Beam,,0.0
"Climate Pack 2: EATC Dual Zone Air Conditioning, Heated Front Windscreen, Heated front Seats, Heated Steering Wheel",Klimaanlegg,0.061
"Convenience Pack 2: Valet Mode, Tailgate/Bootlid-Powered, Keyless Entry and Start, Floor Mats - Leather Edged",Startsperre,0.078
"Interior Black Pack: Black Trim Accent,",Vinterhjul,0.109
Performance Seat,Startsperre,0.086
"Performance pack 2: Super Performance Brakes, Red Brake Calipers, Foot Pedal - Metal Finish, Switchable Active Sports Exhaust",Startsperre,0.132
"Premium Leather Interior: Door Trim Panel - Extended Leather, Leather Console, IP - Leather",Vinterhjul,0.054
Rear Axle Limited Slip Diff w/TVBB,Klimaanlegg,0.055
Reverse Traffic Detection &amp; BSM &amp; CVS,Sentrallås,0.055
Roof - Fixed Panoramic,Isofix,0.152
Sport Design Pack &amp;Black Pk with Spoiler,,0.0
Suedecloth Upper Environment Pack:,Bluetooth,0.066
"Technology &amp; Audio Pack: Meridian Surround Sound System, Navigation Unit EU, Cruise Control, Bluetooth Connectivity",Bluetooth,0.323
"Vision Pack 2: Parking Aid - Rear, Front Park Aid, Rear View Camera, Adaptive Headlamps Xenon + LED Signature",Sommerhjul,0.027
1CA,,0.0
1CB,,0.0
230,,0.0
Pre-Crash Kollisjonsvern,Multifunksjonsratt,0.109
JBL Lydanlegg,Klimaanlegg,0.395
Blåtann/Bluetooth tilkobling for telefon,Bluetooth,0.486
Head Up Display.,Antispinn,0.163
220CDI,,0.0
Ambition Lys pakke,,0.0
Bremse Assist,ABS-Bremser,0.476
Dual Klima,Klimaanlegg,0.393
Individual Mode,El.vinduer,0.062
Sport Mode,,0.0
Sport+ Mode,,0.0
Forvarming av kupe,Oppvarmede seter,0.131
Fullfinans inntil 10 år mulig,Antispinn,0.126
Innbytte alle prisklasser mulig,Elektriske speil,0.099
Ny i Norge,,0.0
Velkommen,Sommerhjul,0.23
Høytaler: Bang &amp; Olufsen,Sentrallås,0.07
"Speil, Oppvarmet",Oppvarmede seter,0.622
18 TOMS ALU S DEKK,,0.0
EL H FESTE,,0.0
HARMAN KARDON MUSIKK,Oppvarmede seter,0.059
SPORTSETER,Oppvarmede seter,0.2
Blind Spot Monitor,El.vinduer,0.067
527 COMAND Online,Kjørecomputer,0.084
581 Klimatisierungsautomatik THERMOTRONIC,Klimaanlegg,0.146
608 Adaptiver Fernlicht-Assistent,Sentrallås,0.04
Trafikk Gul - Spesialfarge,Sentrallås,0.06
Komfort passasjersete med armlene på venstre side,Oppvarmede seter,0.158
Kommunikasjonsmodul til digitale tjenester,Multifunksjonsratt,0.083
MBConnect - Nødsamtalesystem,,0.0
Midtkonsoll med oppbevaringsrom,Oppvarmede seter,0.126
Motor OM651DE22LA 120 kW/163 hk,,0.0
Muttere i festeskinner varerom,Oppvarmede seter,0.073
Setebeltevarsler for passasjersete foran,Oppvarmede seter,0.179
Sideairbag i passasjersete foran,Airbag foran,0.55
"Stålfelger 6,5 J x 17""",Lettmet. felg vinter,0.194
Uhellsmanagement,Sentrallås,0.172
"Full Privacy, mørke ruter",Kjørecomputer,0.081
Varebil Klasse 1 / Lastebil,Oppvarmede seter,0.039
EV bryter,Vinterhjul,0.053
El 8-veis justering av førersete m/ minne,Oppvarmede seter,0.125
"Alufelger sommer, 20""",Lettmet. felg sommer,0.497
Bagasjerom med integrert lommelykt,Sommerhjul,0.139
Elektrisk bakluke med kickåpner og lys,Elektriske speil,0.342
Elektrisk justerbar førerstol med minne,Elektriske speil,0.405
Elektrisk justerbar passasjerstol,Elektriske speil,0.391
Elektrisk parkbrems med hold funksjon,Elektriske speil,0.359
Fjernkontroll med 3 knapper,Startsperre,0.069
Festepunkter i takramme utvendig,Sommerhjul,0.06
Euro 6c Gr.III,,0.0
ENTRY utstyrspakke,Servostyring,0.155
Søvdekor øvre dashbord,,0.0
Tilhengerskrenskontroll (TSC),Antiskrens,0.353
Toyota Easy Flat system,,0.0
Varmetråder i frontrute (hele),Oppvarmede seter,0.177
Varsel for lavt spylervæskenivå,Elektriske speil,0.073
Ventilasjonsdyse for bakseter,Multifunksjonsratt,0.107
Øvre grill med maskemønster,Elektriske speil,0.081
Businesspakke 1,,0.0
El. seter foran,Airbag foran,0.419
Led innvendig lyspakke,Antispinn,0.058
Park.system bak business.pk,,0.0
Smart phone pakke business.pk,Startsperre,0.046
Elektrisk hengerfeste,Elektriske speil,0.477
Elektrisk innsvingbart tilhengerfeste,Elektriske speil,0.327
Elektrisk seterjustering,Elektriske speil,0.411
Komfortseter m minne,Oppvarmede seter,0.151
Audio 40,Radio FM,0.313
Automatisk barnesetegjenkjenning i passasjersete foran,Airbag foran,0.114
Dobbel koppholder i midtkonsoll,Oppvarmede seter,0.057
FULL LED adaptiv svingbare hovedlys (Thors Hammer),Sommerhjul,0.097
Integrerte solgardiner i bakdører,Vinterhjul,0.089
Sølvdekor rundt girkonsoll,Multifunksjonsratt,0.039
Baksetelås,Oppvarmede seter,0.157
"Avgasskonsept, EU4",Multifunksjonsratt,0.044
Bagasjeromsbelysning,Airbag foran,0.091
Bagasjeromskledning i fleece (komplett),Lettmet. felg vinter,0.115
"Bagasjeromstildekning, kan brettes",Airbag foran,0.077
Bakaksel forsterket,Airbag foran,0.045
"Baklykter, vanlig utførelse (versj.2)",Klimaanlegg,0.068
Bakrute oppvarmbar,Oppvarmede seter,0.399
Bakrute-visker-vaskeranlegg med intervallfunksjon,Klimaanlegg,0.181
"Baksete/bakseterygg delt, nedfellbar, med midtarmlene",Oppvarmede seter,0.186
Batteri 280A (60Ah),Multifunksjonsratt,0.046
Mulitfunksjonsratt i skinn,Multifunksjonsratt,0.61
Batteri-/generatorkapasitet standard,Multifunksjonsratt,0.062
Biler med standard utstyr,Servostyring,0.16
Bilklasse-differensiering -6Q0- for Europa-utførelse,Antiskrens,0.091
Bremseslitasjevarsler,ABS-Bremser,0.249
Dagskjørelys,Kjørecomputer,0.182
Dekk 185/60 R14 T,,0.0
Dekk uten spesifisering av dekkmerke,Servostyring,0.088
Delesett uten landsspesifikk byggeforskrift,Antiskrens,0.098
Delvis dekkende beskyttelsestrekk/folie (Europa) med ekstra transportbeskyttelsestiltak,El.vinduer,0.121
Avblendbart innvendig sikkerhetsspeil,Elektriske speil,0.143
Activated carbon canister,Vinterhjul,0.028
AG?-kontrollvisning,El.vinduer,0.152
6-trinns automatgirkasse,Elektriske speil,0.05
Ocean Race inn og eksteriør pakke,Antispinn,0.051
Original Volvo lasteholdere,,0.0
Parkerinssensor bak,Sentrallås,0.088
Parkerinssensor foran,Airbag foran,0.209
Pilotassistent,Sentrallås,0.061
Premium Sound Sensus Connect med Bowers&amp;Wilkins,Sentrallås,0.044
Pærlemor lakk,,0.0
Sensus Navigasjon Pro,Multifunksjonsratt,0.088
Sportsstoler i skinn med Ocean Race detaljer,Startsperre,0.052
Værvarsel,Oppvarmede seter,0.07
Allure,Sentrallås,0.122
Digital berøringsskjerm,Startsperre,0.111
Dødvinkelvarsler,El.vinduer,0.189
"""RCD 200"" med MP3-spillerfunksjon, 2 x 20 W, 4 høyttalere",Multifunksjonsratt,0.211
4 høyttalere (passiv),,0.0
"4-dør, inkludert elektriske vindusheiser, foran og bak",Elektriske speil,0.366
4-dørs,,0.0
"4-syl. bensinmotor 1,4L aggr. 036.R",Antiskrens,0.042
"4-sylinder bensinmotor 1,4L/59 kW (16V) Grunnmotor er: TT1/TQ1",Antiskrens,0.028
Sølvdekor rundt multidisplay,Multifunksjonsratt,0.15
Sølvdekor på gripehåndtak,,0.0
025RC Wi-fi Hotspot online,Startsperre,0.093
"Høyttalere, antall: 16",Sentrallås,0.092
300BZ-1 Setevarme baksete,Oppvarmede seter,0.305
FULLSPEKKET HSE LAUNCH EDITION UTGAVEN,Sentrallås,0.101
2 seter / komfortseter,Oppvarmede seter,0.279
Komfortvegg (nye typen),Klimaanlegg,0.069
"Lastestativ ( tilbehør,ruller følger med)",Startsperre,0.036
Navigasjon sync 3,Multifunksjonsratt,0.093
"3-punkts sikkerhetsbelter, antall: 3",Vinterhjul,0.098
"Hodestøtter, antall: 3",Sentrallås,0.096
Vindusheiser elektriske: Foran,Elektriske speil,0.472
18'' aluminiumsfelger sorte (5-eiker),Lettmet. felg vinter,0.115
Betjening av bagasjeluke fra fjernkontroll,Airbag foran,0.073
7 kollisjonsputer,Kjørecomputer,0.205
"7"" infoskjerm",,0.0
"Adaptiv Radar Cruise Control, intelligent",Radio FM,0.11
Armlene bak,Oppvarmede seter,0.092
Armlene dører bak,Oppvarmede seter,0.081
Auto fjernlys av/på bryter,Vinterhjul,0.032
Avkjøringsvarsel med styressistanse,Servostyring,0.158
Bagasjerom med 2 nivåer,Airbag foran,0.12
Bakkestarthjelp (HAC),Startsperre,0.161
300BZ 18 veis stoler med varme og kjøling,Oppvarmede seter,0.189
188HA Morzine lys tak himling,Servostyring,0.016
181AB Touch panle pro,Klimaanlegg,0.163
088JI Høy glans sorte karroseri detaljer,ABS-Bremser,0.04
030NL Oppvarmede nedblendbare utv speil,Oppvarmede seter,0.413
031CQ Automatisk nedblending av sladrespeil,Elektriske speil,0.171
031MD 22 TOMS SOMMERHJULdesign 5056,Sommerhjul,0.488
031QD 20 TOMS VINTERDEKK design 5068,Vinterhjul,0.163
032LH MFL skinn ratt,Multifunksjonsratt,0.089
043BJ Elektrisk forvarming int,Elektriske speil,0.362
047AP Infrarød reflekterende frontrute,Elektriske speil,0.09
0488M Alu dekor med jaguar logo innsteg,Antispinn,0.038
064BV Høytrykks vaskere for frontlys,Elektriske speil,0.067
064FP Black edition høy glans,,0.0
065AJ Distronic radar cruise kontroll,Radio FM,0.103
067QC Matrix Led Lys,Elektriske speil,0.056
081DA Laminert glass tonede,Oppvarmede seter,0.075
086AG Lane assist,,0.0
086DC Trafikk og hastighets varsler.,Sentrallås,0.053
086GC 360 graders sourround kamera,Radio FM,0.103
086GM Sporhodls og blind sone assistent,El.vinduer,0.041
086KB Traffik assistent bak,Sentrallås,0.11
086MB Parkerings assistent,Servostyring,0.057
Betjening av Adaptiv Radar Cruise Control på ratt,Radio FM,0.106
Betjening av fartsbegrenser (ASL) på ratt,Antiskrens,0.123
Sølvdekor på bakluke,,0.0
Sort frontpilar,,0.0
Manuelt justerbart teleskopratt,Multifunksjonsratt,0.071
Myke materialer på dører bak,Vinterhjul,0.032
Mørke ruter baksete og bagasjerom,Oppvarmede seter,0.12
Oppbevaringsrom under gulv i bagasjerom,Oppvarmede seter,0.088
Reversibel bagasjeromgulv (stoff&amp;plast),Airbag foran,0.061
Satin krom dørhåndtak,,0.0
Sort bakfanger,,0.0
Sort dekor rundt tåkelys,,0.0
Sort fanger foran,Airbag foran,0.275
Sort haifinne-antenne,Antispinn,0.11
Bi-LED projektor hovedlys,Elektriske speil,0.058
Sort tak (Bi-tone),,0.0
Sorte beskyttelseslister sidedører,Vinterhjul,0.025
Sorte dørspeil,Elektriske speil,0.28
Sorte lakkerte hjulbuer,Vinterhjul,0.167
Sorte ventilasjonsdyser på siden,Multifunksjonsratt,0.103
Sporty seter med stoff og kunstskinn,Oppvarmede seter,0.147
Sølv under-run bak,Startsperre,0.148
Sølv under-run foran,Airbag foran,0.214
Sølvdekor i senterkonsoll,Sentrallås,0.113
Manuelt høydejusterbart ratt,Multifunksjonsratt,0.081
Lys i bagasjerom,Airbag foran,0.141
Kromdekor ventilasjonsdyse på sidene,Multifunksjonsratt,0.09
Kromdekor ventilasjonsdyse i senter,Sentrallås,0.129
Blått dekorlys i hanskerom,Elektriske speil,0.081
Dekkreperasjon-kit,Antiskrens,0.098
Doble eksosrør,,0.0
Dynamiske hjelpelinjer for ryggekamera,Elektriske speil,0.103
Elektrisk justerbar korsryggstøtte førersete,Elektriske speil,0.327
Elektrisk justerbar setelengde førersete,Elektriske speil,0.381
Elektrisk justerbar setevinkel førersete,Elektriske speil,0.346
Elektrisk oppvarmet spylerdyser,Oppvarmede seter,0.356
Fotsensor for bagasjeluke,Airbag foran,0.131
Følg meg hjem lys,,0.0
Grålakkert øvre grill,,0.0
Gulvlys,,0.0
"Høydejusterbart førersete, elektrisk",Elektriske speil,0.382
Interiørlys in senter,Vinterhjul,0.259
Justerbare setebelter,Oppvarmede seter,0.161
Justerbare sikkerhetsbelter foran,Airbag foran,0.226
Konsollboks bak,Multifunksjonsratt,0.055
Kromdekor på ratt,Multifunksjonsratt,0.105
Kromdekor rundt girspak,,0.0
Demping bak,Antispinn,0.199
Driftsgodkjenningssupplement,Sentrallås,0.035
Drivstoffsystem for bensininnsprøytning med returfritt insprøytning og endret innsprøytningstrykk,Antispinn,0.032
Connect now,,0.0
Bumpers: Front bumper in body color + chrome locking ring and rear bumper in body color,Startsperre,0.087
CP 20 X 71,,0.0
Center console,Vinterhjul,0.123
"Central locking with remote control, interior operation, and SAFE function",Sentrallås,0.23
CitroÃ n C1 talk to your phone,,0.0
"Climatronic with air recirculation, CFC-free",Klimaanlegg,0.096
Cold climate control,Klimaanlegg,0.192
Color: KTA - Dark Grey Mica 1E0,,0.0
Comfort package,Kjørecomputer,0.096
Construction with remote control,ABS-Bremser,0.052
Engine: Injection 1KR Euro5,,0.0
Daytime running lights with sensor-controlled driving lights,Sentrallås,0.076
Design base: (D) Germany,,0.0
EBD (Electronic Brakeforce Distribution),Elektriske speil,0.072
Eco transmission C550,Kjørecomputer,0.09
Efficient Tronic Gearbox (ETG),Sentrallås,0.042
Electric window lift on driver's side,Elektriske speil,0.096
Electric window regulators with comfort function and disconnection protection,Elektriske speil,0.05
Electronic Stability Control (ESC),Sentrallås,0.05
Electronic power steering,Servostyring,0.064
Battery: L0 390,Multifunksjonsratt,0.064
Auto daytime running lights,Servostyring,0.021
Associated variant injection: Bosch injection system,Antispinn,0.038
Animation model program,Klimaanlegg,0.075
"Utvendig speil, elektrisk regulerbart og oppvarmbart",Elektriske speil,0.433
Varme med manuell regulering,Oppvarmede seter,0.221
"Vektområde 2 bare monteringsstyring, ingen behovsprognose",Servostyring,0.217
Venstrestyringutførelse,Servostyring,0.253
Verktøy i bilen og aluminiumsjekk,,0.0
Vindushevere med komfortfunksjon elektrisk,Elektriske speil,0.306
Vindusvisker-intervallfunksjon med potensiometer (4-trinns),Multifunksjonsratt,0.186
Vindusviskerarmer/-blader med spoilerviskerblad,Elektriske speil,0.15
ekstra drivverksbeskyttelse,Sentrallås,0.054
"ekstra karosseritildekninger, men med ekstra lakkering",Sentrallås,0.087
ekstra pakninger utvendig,Sentrallås,0.067
ekstra utvendig støydempeng,Sentrallås,0.062
Miljøklasse Euroklasse 5 6,,0.0
15-inch steel wheel,,0.0
5-speed automatic C550,Elektriske speil,0.056
8 speakers HIFI Premium,ABS-Bremser,0.062
ABS brakes (Anti-lock Braking System),Antispinn,0.132
Adjustable rear headrest,Startsperre,0.05
Advanced ESP (Electronic Stability Program),Startsperre,0.037
Engine code: 384F 1KR (998cc),,0.0
Exhaust cleaning engine Euro 5.5 L6 and newer,Servostyring,0.017
Drivstofftank uten spesiell overflatebehandling,Kjørecomputer,0.036
"Rear suspension, bad road and comfort version",Kjørecomputer,0.054
Light fantastic Edition,Antispinn,0.075
MP3 system and USB socket,,0.0
Manufacturer: Japan,,0.0
Model program with extra lights,Sentrallås,0.067
Motor-driven throttle control (air intake to engine),Airbag foran,0.072
Parcel shelf,,0.0
Premium dashboard with soundproofing,Isofix,0.099
Premium metallic paint,Lettmet. felg vinter,0.122
Rear bumper in body color,Startsperre,0.075
Reinforced front and rear bumpers in body color,Startsperre,0.054
Exhaust cleaning: Engine Euro 5,Servostyring,0.019
Remote control car radio,Radio FM,0.498
Rev counter with display,Antispinn,0.119
Right-hand drive,,0.0
Separately heated mirrors,Multifunksjonsratt,0.041
Set with 2 front speakers and 2 tweeters rear,Oppvarmede seter,0.1
Side collision airbag,Airbag foran,0.48
Simple locking mechanism,Servostyring,0.018
Speedometer in km/h,Lettmet. felg vinter,0.108
Sport comfort seats,Kjørecomputer,0.089
Left-hand drive,,0.0
Leather multifunction steering wheel,Multifunksjonsratt,0.337
Lamp + audible seat belt signal front,,0.0
Interior fabric: Woven fabric Orsai G240+TYOT G094,Vinterhjul,0.071
Extended pedestrian protection measures,Oppvarmede seter,0.063
Exterior handle + mirror in body color,Vinterhjul,0.027
Exterior handle+mirror in body color,Vinterhjul,0.025
Extra comfort seats,Sentrallås,0.087
Extra driveline protection,Sentrallås,0.069
F1 Paddle skifters,Vinterhjul,0.034
First definition,,0.0
Front bumper extra protection against stone chipping,Antispinn,0.084
Front center armrest,Vinterhjul,0.104
Front collision airbag,Airbag foran,0.471
"Front side airbag, passenger and head airbag",Airbag foran,0.641
Front windshield wiper 2 speeds,Startsperre,0.106
Full rear seat with split backrest,Antiskrens,0.104
Go with the flow,,0.0
Headlamp washer system,,0.0
Heated seats,,0.0
Heated side mirrors,,0.0
Heated washer nozzles,,0.0
ISOFIX child seat anchoring system for child seat system,Isofix,0.326
Utvendig speil og diverse påbygningsdeler i bilens farge,Elektriske speil,0.162
Uten tåkelyskaster,Kjørecomputer,0.094
Uten trykktastlås med varselkontakt,Oppvarmede seter,0.068
Kjøretøy med spesielle oppvurderingstiltak,Oppvarmede seter,0.146
Håndbrekkhendel (Kunststoff),ABS-Bremser,0.054
"Høydejustering, manuell, for forseter",Oppvarmede seter,0.13
Høytsittene bremselys,ABS-Bremser,0.281
"Ikke spesialkjøretøy, standardversjon",Kjørecomputer,0.108
Ingen aksjons å utføre,Multifunksjonsratt,0.23
Innerskjermer foran og bak,Airbag foran,0.21
"Innfellbare håndtak på takrammen, dempet",Lettmet. felg sommer,0.09
"Instrumentbelysning, standard (blå)",Sentrallås,0.043
"Instrumentinnsats med turteller, klokke og speedometervisning i KM/H",Antispinn,0.08
Klebemerker/skilter på norsk,Sommerhjul,0.044
Uten takreling / takstativ,Antiskrens,0.115
Kollisjonspute for fører og passasjer foran med deaktivering av koll.puten på passasjersiden,Kjørecomputer,0.144
Kombi,,0.0
Kupélys med kontaktbrytere/dører,Oppvarmede seter,0.054
"Logosett ""1,4""",Lettmet. felg vinter,0.103
Lokk for drivstoffbeholder,Airbag foran,0.034
"Luftføring, Highline",Servostyring,0.061
"Make-up-speil på høyre side, med lys",Elektriske speil,0.18
"Make-up-speil på venstre side, med lys",Elektriske speil,0.174
Med spesiell karosseribehandling,Servostyring,0.058
Hyllepakke 1,,0.0
Hodestøtter på forsetene justerbar høyde og vinkel,Oppvarmede seter,0.118
Hjulbolter standard,Vinterhjul,0.223
Heldekkende hjulkapsler,Vinterhjul,0.149
Dør- og sidebekledninger,Servostyring,0.022
Ekstra karosserispesifikasjoner,Elektriske speil,0.096
Ekstra komfortutstyr pakke,Servostyring,0.132
Ekstra reflekser (dørområde),Sentrallås,0.06
Electronic Stabilization Program (ESP),Startsperre,0.038
Enderør bak (standard),Startsperre,0.219
"Fjæringsområde 16 bare monteringsstyring, ingen behovsprognose",Servostyring,0.232
"Formstøpt tak, udelt, komfort",Airbag foran,0.076
Fotromskledning uten tildekning,Kjørecomputer,0.045
Frekvensområde 433.92 to 434.42 Mhz,Sommerhjul,0.069
Frostbeskyttelse til -35 grader Celsius Toleranse til -40 grader C,Radio FM,0.14
Første påfylling av standarddrivstoff,Startsperre,0.036
Generator 90 A,Multifunksjonsratt,0.068
Girspakkledning for automat- gir,Airbag foran,0.036
Girspakkule-/håndtak i kunststoff,,0.0
Grill,,0.0
"Gulvbelegg i bagasjerommet, nåleflis",Klimaanlegg,0.17
"Halogenhovedlykter, høyrekjøring",Kjørecomputer,0.069
Hanskerom standard,Elektriske speil,0.105
Modul gulv bak (utførelse 3),,0.0
"Monteringsdifferensiering for girkasse ""AQ 250"" -- bildeler --",Antiskrens,0.096
Motortildekning,Servostyring,0.024
Støtfanger i bilens farge,Antiskrens,0.06
Takantenne,Antispinn,0.1
Takstolpekledning utvendig,Servostyring,0.017
Tennings-låsesperresystem,Startsperre,0.319
Trep. rullebelter foran med elektr. beltestrammer og høydejustering,Elektriske speil,0.146
Typegodkjenningsland Norge,Servostyring,0.016
