,From,To,Similarity
11880,exterior tailgate handle: karosserifarget baklukehåndtak,takrails,0.1
11881,xz1 model generation 1,air condition,0.108
11882,xz0 model generation 0,air condition,0.108
11883,siktpakke,lakkerte utvendige speil,0.096
11884,sikt pakke,lakkerte utvendige speil,0.128
11885,03ag ryggekamera,ryggekamera,0.81
11886,03ag rygge kamera,ryggekamera,0.644
11887,aut. avblendbare speil,elektriske speil,0.234
11888,aut. avblendbart speil,elektriske speil,0.236
11889,vinterhjul på alu.felg,vinterhjul,0.746
11890,vinterhjul på felg,vinterhjul,0.891
11891,vinterhjul på alu. felg,vinterhjul,0.846
11892,corporate badge ford selskapsmerke,parkeringsensor foran,0.091
11893,corporate badge: ford selskapsmerke,parkeringsensor foran,0.091
11894,exit warning assist,skinninteriør,0.072
11895,exit warning assistant,antispinn,0.069
11896,9g tronic 9 trinns automatgear,skinnseter,0.182
11897,9g-tronic 9 trinns automatgear,skinnseter,0.159
11898,full led frontlykter,cruisekontroll,0.04
11899,full led-frontlykter,cruisekontroll,0.035
11900,p9z0 operating voltage 12 v,startsperre,0.068
11901,operating voltage 12 v,startsperre,0.083
11902,p9z0  operating voltage 12 v,startsperre,0.068
11903,h79 trim elem. - aluminium w/ longit./textured grain,takrails,0.069
11904,h79 trim elem. - alum w. longit./textured grain,takrails,0.075
11905,03fa bmw lt-alloy wheel aerodyn.858m mb std,metallic lakk,0.088
11906,s03fa bmw lt-alloy wheel aerodyn.858m mb st,metallic lakk,0.088
11907,2vf adaptive m suspension,antiskrens,0.061
11908,02vf adaptive m suspension,antiskrens,0.057
11909,2vf - adaptive m suspension,antiskrens,0.061
11910,02vf adaptivt m suspension,antiskrens,0.055
11911,el. høydejustert sete,skinnseter,0.169
11912,høydejustert sete,skinnseter,0.169
11913,høydejustering sete,skinnseter,0.166
11914,auto cruise control - smart,cruisekontroll,0.568
11915,auto cruise control smart,cruisekontroll,0.568
11916,skiltgjenkjenningssystem,skinninteriør,0.21
11917,513 - skiltgjenkjenningssystem,skinninteriør,0.2
11918,48z del. pass. lumb. s./pass. sbw adj.,,0.0
11919,del. pass. lumb. s./pass. sbw adj.,,0.0
11920,karbon frontleppe,cruisekontroll,0.036
11921,- carbon frontleppe,cruisekontroll,0.036
11922,502 headlight washer system,navigasjonssystem,0.144
11923,headlight washer system,navigasjonssystem,0.154
11924,trådløs lading av kompitable mobiltelefoner,pollenfilter,0.116
11925,6nw trådløs lading av kompitable mobile enheter,radio fm,0.097
11926,additional varm water heating,air condition,0.32
11927,additional warm water heating,air condition,0.313
11928,725 dachreling in chromoptik,diesel-partikkelfilter,0.053
11929,dachreling in chromoptik,diesel-partikkelfilter,0.056
11930,670 motor restvarmeutnyttelse mra,oppvarmede seter,0.11
11931,670 motor-restvarmeutnyttelse mra,oppvarmede seter,0.104
11932,elektrisk justerbare førersete med minnefunksjon,elektrisk sete m. memory,0.344
11933,elektrisk justerbart førersete med minnefunksjon,elektrisk sete m. memory,0.345
11934,garasjeåpner,navigasjonssystem,0.053
11935,- garasjeåpner,navigasjonssystem,0.053
11936,garasjedøråpner,navigasjonssystem,0.044
11937,- driver and front passenger luxury head restraint,sentrallås,0.111
11938,436 driver and front passenger luxury head restraint,sentrallås,0.104
11939,driverand front passenger luxury head restraint,sentrallås,0.108
11940,- led frontlykter,cruisekontroll,0.045
11941,led-frontlykter,cruisekontroll,0.039
11942,porsche ceramic composite brake (pccb),kjørecomputer,0.109
11943,porsche ceramic composite brakes (pccb),kjørecomputer,0.107
11944,intelligent p-assistans,vinterdekk,0.119
11945,intelligent p-assistanse,skinnseter,0.119
11946,881 remote trunk locking,elektrisk sete m. memory,0.082
11947,remote trunk locking,elektrisk sete m. memory,0.091
11948,3j7 hodestøtter på forsetene justerbar høyde og vinkel,regulerbart ratt,0.138
11949,hodestøtter på forsetene justerbar høyde og vinkel,regulerbart ratt,0.147
11950,"control, combox",cruisekontroll,0.228
11951,control combox,cruisekontroll,0.228
11952,kjørefeltvarsler (ldw),beltevarsler,0.403
11953,kjørefeltvarsling (ldw),beltevarsler,0.264
11954,modulær seteinnfestning 2. og 3.seterad,skinnseter,0.211
11955,modulær seteinnfestning 2./3. rad,skinnseter,0.131
11956,u59 sete komfortpakke,skinnseter,0.115
11957,u59 setekomfortpakke,skinnseter,0.104
11958,kjøling i sete,skinnseter,0.171
11959,kjøling seter,skinnseter,0.218
11960,justerbar seteryggbredde,regulerbart ratt,0.156
11961,490 justerbar seteryggbredde,regulerbart ratt,0.145
11962,nero ribelle metallic lakk,metallic lakk,0.679
11963,nero ribelle metallic,metallic lakk,0.524
11964,"0999job control ""hea""",cruisekontroll,0.153
11965,"0999 job control ""hea""",cruisekontroll,0.19
11966,• led hovedlys og baklys,xenonlys,0.125
11967,led hovedlys og baklys,xenonlys,0.125
11968,adaptiv kjøreassistent inkl. nødstoppassistent,kjørecomputer,0.117
11969,adaptiv kjøreassistent med nødstoppassistent,kjørecomputer,0.12
11970,"s888 on-board literature, danish",skinnratt,0.05
11971,"s0888 on-board literature, danish",skinnratt,0.048
11972,adaptive vindusviskere med integrerte spylerdyser i viskerarmen,vinterdekk,0.177
11973,adaptive vindusviskere med integrerte spylerdyser,vinterdekk,0.211
11974,adaptive led-frontlykter,cruisekontroll,0.034
11975,adaptive led frontlykter,cruisekontroll,0.038
11976,552 adaptive led frontlykter,cruisekontroll,0.035
11977,adaptive frontlykter,cruisekontroll,0.039
11978,a52 r- valve body assembly with vgs 3,,0.0
11979,a86 t valve body assembly with vgs 3,,0.0
11980,4at interior trim finishers black high-gloss,skinninteriør,0.131
11981,4atinterior trim finishers black high-gloss,skinninteriør,0.127
11982,4at - interior trim finish black high-gloss,skinninteriør,0.138
11983,f253 model series 253,diesel-partikkelfilter,0.058
11984,f253 modell serie 253,servostyring,0.049
11985,f213 model series 213,diesel-partikkelfilter,0.06
11986,porsche traction management (ptm),sentrallås,0.103
11987,assist: porsche traction management (ptm),sentrallås,0.098
11988,comfort access/keyless,elektriske speil,0.086
11989,comfort access(keyless),elektriske speil,0.086
11990,comfort access / keyless,kjørecomputer,0.064
11991,9tc ekstra reflekser (dørområde),vinterdekk,0.083
11992,9tc  ekstra reflekser (dørområde),vinterdekk,0.083
11993,ekstra reflekser (dørområde),vinterdekk,0.09
11994,7g-tronic automatisk girkasse,antiskrens,0.111
11995,7g-tronic automatgirkasse,cruisekontroll,0.036
11996,heldekkende hjulkapsler,vinterhjul,0.161
11997,1nn heldekkende hjulkapsler,vinterhjul,0.151
11998,belyst fotbrønn,beltevarsler,0.071
11999,led belyst fotbrønn,beltevarsler,0.069
12000,blindsonemonitor,elektrisk sete m. memory,0.081
12001,blindsonemonitorering,parkeringsensor bak,0.085
12002,s896 daytime driving lights,vinterdekk,0.06
12003,s896a daytime driving lights,vinterdekk,0.056
12004,med 60:40-delt sam.leggbart baksete,klimaanlegg,0.11
12005,60:40-delt sam.leggbart baksete,klimaanlegg,0.111
12006,global closing med auto vinduslukking,el.vinduer,0.135
12007,global closing: med auto vinduslukking,el.vinduer,0.135
12008,shipping protection package,antispinn,0.12
12009,925 shipping protection package,antispinn,0.113
12010,skinntrukket girspak,skinnseter,0.216
12011,skinntrukket girspakhode,skinnseter,0.178
12012,f167 serie 167,servostyring,0.05
12013,f177 serie 177,servostyring,0.051
12014,sportsautomat,startsperre,0.082
12015,amg sportsautomat,startsperre,0.078
12016,sportautomat,,0.0
12017,10-veis el.føresete m/minne,skinnseter,0.151
12018,10-veis el.fører sete med minne.,skinnseter,0.161
12019,76b ac charging function single-phase/multiphase mid (6 kw-7.7 kw),multifunksjonsratt,0.119
12020,ac charging function single-phase/multiphase mid (6 kw-7.7 kw),multifunksjonsratt,0.122
12021,l&amp;k utgave.,,0.0
12022,l&amp;k utgave,,0.0
12023,battery h8 agm 95ah 850 cca,skinnratt,0.061
12024,batteri h8 agm 95ah 850 cca,skinninteriør,0.066
12025,8x1 headlight cleaning system,navigasjonssystem,0.137
12026,8x1 headlight cleaning system i6,navigasjonssystem,0.137
12027,- el vinduer,el.vinduer,0.755
12028,- el vindu,el.vinduer,0.516
12029,parkeringssensorer bak og ryggekamera,ryggekamera,0.649
12030,parkeringssensor bak med ryggekamera.,ryggekamera,0.673
12031,easy-clean lasteromsgulv,regulerbart ratt,0.072
12032,''easy-clean'' lasteromsgulv,regulerbart ratt,0.072
12033,skinn - macchiato beige / brown,skinnseter,0.166
12034,skinn - macchiato beige / black,skinnseter,0.178
12035,exterior paint pack utvendig lakk - dekklakk,lakkerte utvendige speil,0.486
12036,exterior paint pack: utvendig lakk - dekklakk,lakkerte utvendige speil,0.486
12037,elektrisk høydejustering førersete,elektrisk sete m. memory,0.409
12038,elektrisk høydejustering av førersete,elektrisk sete m. memory,0.409
12039,sidespeil i bilens farge,elektriske speil,0.228
12040,speil i bilens farge,elektriske speil,0.267
12041,i sidekledningen,airbag foran side,0.151
12042,sidekledning,airbag foran side,0.163
12043,b06 type test. country: norway,sentrallås,0.049
12044,type test. country: norway,sentrallås,0.053
12045,"korsryggstøtte, førersiden",ryggekamera,0.154
12046,"m/ el. korsryggstøtte, førersiden",ryggekamera,0.154
12047,type1 schuko nødlader,,0.0
12048,type2 schuko nødlader,,0.0
12049,mark levinson premium surround,parkeringsensor bak,0.113
12050,mark levinson premium stereo,parkeringsensor bak,0.121
12051,"radio/navigasjonssystem ""discover media""",navigasjonssystem,0.672
12052,navigasjonssystem discover media,navigasjonssystem,0.735
12053,2vs executive drive pro,,0.0
12054,2vs - executive drive pro,,0.0
12055,s-line utvendig,lakkerte utvendige speil,0.536
12056,-s line utvendig,lakkerte utvendige speil,0.575
12057,barneseteforankring foran,airbag foran,0.305
12058,- barneseteforankring foran,airbag foran,0.305
12059,barneseteforankring for,airbag foran,0.207
12060,rear belt status indication,air condition,0.171
12061,- rear belt status indication,air condition,0.171
12062,sports exhaust system,navigasjonssystem,0.164
12063,rs sports exhaust system,navigasjonssystem,0.164
12064,p0ln with special labels safety certificates for norway,lakkerte utvendige speil,0.056
12065,with special labels safety certificates for germany,lakkerte utvendige speil,0.062
12066,- gratis superlading hos tesla,radio fm,0.111
12067,*gratis superlading hos tesla,radio fm,0.111
12068,01ek bmw lt-alloy wheel double spoke 871m std,metallic lakk,0.094
12069,1ek bmw lt-alloy wheel double spoke 871m std,metallic lakk,0.098
12070,- ccs adapter,skinnseter,0.043
12071,ccs adapter,skinnseter,0.043
12072,vehicle waxing,aux-inngang,0.18
12073,- vehicle waxing,aux-inngang,0.18
12074,digitalt klimaanlegg,klimaanlegg,0.761
12075,digitalt klima anlegg,klimaanlegg,0.595
12076,bakre kamera,ryggekamera,0.426
12077,ett bakre kamera,ryggekamera,0.397
12078,lineassist,,0.0
12079,line-assist,,0.0
12080,direct start / eco start/stop function,startsperre,0.345
12081,- direct start / eco start/stop function,startsperre,0.345
12082,herregårdsvognpakke,startsperre,0.182
12083,herregårdsvognpakke 2,startsperre,0.182
12084,herregårdspakke,startsperre,0.243
12085,673 batterie m. gröã erer kapazität,skinninteriør,0.059
12086,batterie m. grösserer kapazität,skinninteriør,0.052
12087,justerbar låstøtte foran,airbag foran,0.32
12088,justerbar lårstøtte seter foran,airbag foran,0.272
12089,et4 control display system comand,cruisekontroll,0.166
12090,et4 kontroll display system komand,cruisekontroll,0.279
12091,hel skillevegg med vindu,el.vinduer,0.203
12092,skillevegg med vindu,el.vinduer,0.218
12093,9zc telephone module with coupler box,regulerbart ratt,0.111
12094,telephone module with coupler box,regulerbart ratt,0.12
12095,vindu utvikling før annet vindu 2008,el.vinduer,0.289
12096,vindu utvikling før 3. vindu 2008,el.vinduer,0.312
12097,"eh2 vehicle cable length 7,5m / 25 foot",bluetooth,0.083
12098,"- eh2 f vehicle cable length 7,5m / 25 foot",bluetooth,0.083
12099,g1g 8-speed porsche doppelkupplung (pdk),handsfree opplegg,0.091
12100,• g1g 8-speed porsche doppelkupplung (pdk),handsfree opplegg,0.091
12101,navigasjon business,navigasjonssystem,0.519
12102,606 - navigasjon business,navigasjonssystem,0.471
12103,il1 forbundsrepublikken tyskland,handsfree opplegg,0.069
12104,2xxl forbundsrepublikken tyskland,handsfree opplegg,0.066
12105,"8tc rear fog light, right-hand traffic, lhd",handsfree opplegg,0.092
12106,"rear fog light, right-hand traffic, lhd",handsfree opplegg,0.097
12107,3u4 roll-up blind f. luggage comp. cover,kjørecomputer,0.116
12108,roll-up blind f. luggage comp. cover,kjørecomputer,0.126
12109,park sensor foran/bak.,parkeringsensor foran,0.554
12110,park sensor foran/bak,parkeringsensor foran,0.554
12111,6fj auã enspiegel in schwarz (hochglanz),antispinn,0.101
12112,auã enspiegel in schwarz (hochglanz),antispinn,0.106
12113,6rc ohne abweichende naehte/leder,oppvarmede seter,0.053
12114,ohne abweichende naehte/leder,oppvarmede seter,0.055
12115,70t supply cable for type e/f electrical socket,elektriske speil,0.069
12116,supply cable for type e/f electrical socket,elektriske speil,0.074
12117,7ip fahrzeug-differenzierung 971 (g2),antiskrens,0.052
12118,fahrzeug-differenzierung 971 (g2),antiskrens,0.054
12119,"7l8 start/stopp ""default on"" mit rekup",startsperre,0.18
12120,"start/stopp ""default on"" mit rekup",startsperre,0.193
12121,varslingssystem for setebelte foran,beltevarsler,0.399
12122,varslingssystem for setebelte bak,beltevarsler,0.419
12123,7v0 zifferblaetter schwarz,lettmet. felg vinter,0.076
12124,zifferblaetter schwarz,lettmet. felg vinter,0.081
12125,carbid bremser med røde kalippere,abs-bremser,0.272
12126,carbid bremser med rode kalippere,abs-bremser,0.266
12127,isofix i baksetet,isofix,0.734
12128,isofix i bakseter,isofix,0.768
12129,3x isofix i bakseter,isofix,0.768
12130,2 x isofix i baksetet,isofix,0.734
12131,573 isofix i baksetet,isofix,0.639
12132,isofix i ytre bakseter,isofix,0.648
12133,"r-line ""exterior""",skinninteriør,0.096
12134,r-line exterior,skinninteriør,0.096
12135,8yq mmi radio high/navigation,radio fm,0.361
12136,7t6 mmi radio high/navigation,radio fm,0.361
12137,v06 speed- + loadindex 95w,radio fm,0.128
12138,- speed- + loadindex 95w,radio fm,0.143
12139,v05 speed- + loadindex 99v,radio fm,0.127
12140,1d4 anhängevorrichtung mit schwenkbarem kugelhals (werksseitig),air condition,0.045
12141,1d4 anhängevorrichtung schwenkbar (werksseitig),air condition,0.052
12142,4e7 gepäckraumklappe automatisch öffnend,takrails,0.086
12143,4e9 gepäckraumklappe automatisch öffnend,takrails,0.086
12144,fuel type diesel fuel type,diesel-partikkelfilter,0.182
12145,fuel type diesel fuel,diesel-partikkelfilter,0.219
12146,b16 exhaust tip,,0.0
12147,- exhaust tip,,0.0
12148,permanent 4 wd,startsperre,0.105
12149,permanent 4wd,startsperre,0.089
12150,opel eye,,0.0
12151,opel-eye,elektriske speil,0.057
12152,450 høydejusterbart passasjersete,regulerbart ratt,0.201
12153,450 - høydejusterbart passasjersete,regulerbart ratt,0.201
12154,høydejusterbart passasjersete,regulerbart ratt,0.215
12155,450 høydejusterbart passasjersete foran,airbag foran,0.221
12156,481 sport seats f driver/front passenger,sentrallås,0.065
12157,sport seats f driver/front passenger,sentrallås,0.07
12158,481 sports seats for driver and front passenger,parkeringsensor foran,0.076
12159,4p0  modul gulv bak (utførelse 1),regulerbart ratt,0.089
12160,modul gulv bak (utførelse 3),regulerbart ratt,0.099
12161,f205 model series 205,diesel-partikkelfilter,0.062
12162,model series 205,diesel-partikkelfilter,0.09
12163,f245 model series 245,diesel-partikkelfilter,0.06
12164,automatic child seat recognitation (akse),kjørecomputer,0.143
12165,- automatic child seat recognitation (akse),kjørecomputer,0.143
12166,u18 automatic child seat recognitation (akse),kjørecomputer,0.136
12167,matrix led frontlykter,elektriske speil,0.052
12168,matrix-led frontlykter,elektriske speil,0.044
12169,webasto motor- og kupévarmer m/fjernkontroll,cruisekontroll,0.218
12170,webasto motor og kupevarmer m/fjernkontroll,cruisekontroll,0.214
12171,motor og kupevarmer m/fjernkontroll,cruisekontroll,0.241
12172,04ft alum. brushed lengthw. acc. black hi-gls,midtarmlene,0.045
12173,4ft - alu.brushed lengthw.acc.black hi-gls,midtarmlene,0.038
12174,fjernopplåsing av bakluke,fjernstyrt sentrallås,0.146
12175,fjernopplåsing av tanklokket,fjernstyrt sentrallås,0.129
12176,sportsseter i delskinn,skinnseter,0.421
12177,sportsseter i delskinn.,skinnseter,0.421
12178,sportsseter i helskinn,skinnseter,0.404
12179,it0 standard mib scope,startsperre,0.051
12180,standard mib scope,startsperre,0.057
12181,listverk - bird's eye poppel,lakkerte utvendige speil,0.07
12182,listverk - bird's eie poppel,lakkerte utvendige speil,0.07
12183,3x1 ski bag,airbag foran,0.18
12184,3x1 f ski bag,airbag foran,0.18
12185,pcs pre-collision system,kjørecomputer,0.192
12186,pre-collision system,kjørecomputer,0.22
12187,865 digital tv tuner,metallic lakk,0.074
